,transition_year_utc,transition_month_utc,transition_day_utc,transition_hour_utc,transition_minute_utc,transition_second_utc,utc_offset_seconds,dst_bool,tzname
0,1,1,1,0,0,0,84600,False,LMT
1,1913,10,26,0,30,20,0,False,+00
2,1939,9,12,0,0,0,3600,True,+01
3,1939,11,18,23,0,0,0,False,+00
4,1940,2,25,0,0,0,3600,True,+01
5,1945,11,17,23,0,0,0,False,+00
6,1950,6,11,0,0,0,3600,True,+01
7,1950,10,28,23,0,0,0,False,+00
8,1967,6,3,12,0,0,3600,True,+01
9,1967,9,30,23,0,0,0,False,+00
10,1974,6,24,0,0,0,3600,True,+01
11,1974,8,31,23,0,0,0,False,+00
12,1976,5,1,0,0,0,3600,True,+01
13,1976,7,31,23,0,0,0,False,+00
14,1977,5,1,0,0,0,3600,True,+01
15,1977,9,27,23,0,0,0,False,+00
16,1978,6,1,0,0,0,3600,True,+01
17,1978,8,3,23,0,0,0,False,+00
18,1984,3,16,0,0,0,3600,False,+01
19,1985,12,31,23,0,0,0,False,+00
20,2008,6,1,0,0,0,3600,True,+01
21,2008,8,31,23,0,0,0,False,+00
22,2009,6,1,0,0,0,3600,True,+01
23,2009,8,20,23,0,0,0,False,+00
24,2010,5,2,0,0,0,3600,True,+01
25,2010,8,7,23,0,0,0,False,+00
26,2011,4,3,0,0,0,3600,True,+01
27,2011,7,30,23,0,0,0,False,+00
28,2012,4,29,2,0,0,3600,True,+01
29,2012,7,20,2,0,0,0,False,+00
30,2012,8,20,2,0,0,3600,True,+01
31,2012,9,30,2,0,0,0,False,+00
32,2013,4,28,2,0,0,3600,True,+01
33,2013,7,7,2,0,0,0,False,+00
34,2013,8,10,2,0,0,3600,True,+01
35,2013,10,27,2,0,0,0,False,+00
36,2014,3,30,2,0,0,3600,True,+01
37,2014,6,28,2,0,0,0,False,+00
38,2014,8,2,2,0,0,3600,True,+01
39,2014,10,26,2,0,0,0,False,+00
40,2015,3,29,2,0,0,3600,True,+01
41,2015,6,14,2,0,0,0,False,+00
42,2015,7,19,2,0,0,3600,True,+01
43,2015,10,25,2,0,0,0,False,+00
44,2016,3,27,2,0,0,3600,True,+01
45,2016,6,5,2,0,0,0,False,+00
46,2016,7,10,2,0,0,3600,True,+01
47,2016,10,30,2,0,0,0,False,+00
48,2017,3,26,2,0,0,3600,True,+01
49,2017,5,21,2,0,0,0,False,+00
50,2017,7,2,2,0,0,3600,True,+01
51,2017,10,29,2,0,0,0,False,+00
52,2018,3,25,2,0,0,3600,True,+01
53,2018,5,13,2,0,0,0,False,+00
54,2018,6,17,2,0,0,3600,True,+01
55,2018,10,28,2,0,0,3600,False,+01
56,2019,5,5,2,0,0,0,True,+00
57,2019,6,9,2,0,0,3600,False,+01
58,2020,4,19,2,0,0,0,True,+00
59,2020,5,24,2,0,0,3600,False,+01
60,2021,4,11,2,0,0,0,True,+00
61,2021,5,16,2,0,0,3600,False,+01
62,2022,3,27,2,0,0,0,True,+00
63,2022,5,8,2,0,0,3600,False,+01
64,2023,3,19,2,0,0,0,True,+00
65,2023,4,23,2,0,0,3600,False,+01
66,2024,3,10,2,0,0,0,True,+00
67,2024,4,14,2,0,0,3600,False,+01
68,2025,2,23,2,0,0,0,True,+00
69,2025,4,6,2,0,0,3600,False,+01
70,2026,2,15,2,0,0,0,True,+00
71,2026,3,22,2,0,0,3600,False,+01
72,2027,2,7,2,0,0,0,True,+00
73,2027,3,14,2,0,0,3600,False,+01
74,2028,1,23,2,0,0,0,True,+00
75,2028,2,27,2,0,0,3600,False,+01
76,2029,1,14,2,0,0,0,True,+00
77,2029,2,18,2,0,0,3600,False,+01
78,2029,12,30,2,0,0,0,True,+00
79,2030,2,10,2,0,0,3600,False,+01
80,2030,12,22,2,0,0,0,True,+00
81,2031,1,26,2,0,0,3600,False,+01
82,2031,12,14,2,0,0,0,True,+00
83,2032,1,18,2,0,0,3600,False,+01
84,2032,11,28,2,0,0,0,True,+00
85,2033,1,9,2,0,0,3600,False,+01
86,2033,11,20,2,0,0,0,True,+00
87,2033,12,25,2,0,0,3600,False,+01
88,2034,11,5,2,0,0,0,True,+00
89,2034,12,17,2,0,0,3600,False,+01
90,2035,10,28,2,0,0,0,True,+00
91,2035,12,2,2,0,0,3600,False,+01
92,2036,10,19,2,0,0,0,True,+00
93,2036,11,23,2,0,0,3600,False,+01
94,2037,10,4,2,0,0,0,True,+00
95,2037,11,15,2,0,0,3600,False,+01
